,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Berlin,Berlin,LOC,-0.13647343,0.01449275,de,69.00000000,4005728-8,2950159,P,52.52437000,13.41053000,EUROPE,Germany,WCE
Brandenburg,Brandenburg,LOC,-0.16216892,0.01499250,de,66.70000000,4007955-7,2945356,A,52.45905000,13.01582000,EUROPE,Germany,WCE
Hessen,Hessen,LOC,-0.28699552,0.06352765,de,44.60000000,4024729-6,2905330,A,50.55000000,9.00000000,EUROPE,Germany,WCE
Bayern,Bayern,LOC,-0.27572965,0.17665131,de,43.40000000,4005044-0,2951839,A,49.00000000,11.50000000,EUROPE,Germany,WCE
Nebel,Nebel,LOC,-0.15483871,0.20430108,de,31.00000000,,12152659,S,56.37689000,107.07058000,ASIA,Russia,ESB
Saarland,Saarland,LOC,-0.26881720,0.00000000,de,31.00000000,4076919-7,2842635,A,49.40472000,6.96083000,EUROPE,Germany,WCE
Rheinland-Pfalz,Rheinland-Pfalz,LOC,-0.24783550,0.00000000,de,30.80000000,4049795-1,2847618,A,49.66667000,7.50000000,EUROPE,Germany,WCE
Baden-Württemberg,Baden-Württemberg,LOC,-0.10796646,0.22012579,de,15.90000000,4004176-1,2953481,A,48.50000000,9.00000000,EUROPE,Germany,WCE
Offenbach,Offenbach,LOC,-0.52185792,0.13661202,de,12.20000000,4043359-6,2857807,P,50.10061000,8.76647000,EUROPE,Germany,WCE
lsw,lsw,LOC,0.08250825,0.13201320,de,10.10000000,,1214658,P,5.18010000,97.15070000,ASIA,Indonesia,SEA
Stuttgart,Stuttgart,LOC,0.08250825,0.13201320,de,10.10000000,4058282-6,2825297,P,48.78232000,9.17702000,EUROPE,Germany,WCE
Freistaat,Freistaat,LOC,-0.16000000,0.25000000,de,10.00000000,4059979-6,2822542,A,50.91667000,11.00000000,EUROPE,Germany,WCE
Niedersachsen,Niedersachsen,LOC,0.02536232,0.00000000,de,9.20000000,4042226-4,2862926,A,52.83333000,9.16667000,EUROPE,Germany,WCE
Bayerns,Bayerns,LOC,-0.23754789,0.44061303,de,8.70000000,,0,,,,,,
Bergen,Bergen,LOC,-0.30555556,0.39682540,de,8.40000000,1027742-0,3161732,P,60.39299000,5.32415000,EUROPE,Norway,NEU
München,München,LOC,-0.00198413,0.05952381,de,8.40000000,4245720-8,2867714,P,48.13743000,11.57549000,EUROPE,Germany,WCE
Nordrhein-Westfalen,Nordrhein-Westfalen,LOC,-0.59036145,0.12048193,de,8.30000000,4031483-2,2886242,P,50.93333000,6.95000000,EUROPE,Germany,WCE
