,phrase,label,sentiment,subjectivity,language,count,geonames,geotype,latitude,longitude,country,ipcc
"Link
","Link
",MISC,,,de,63,,,,,,
“,“,MISC,,,de,28,,,,,,
Ukraine-Krieg,Ukraine-Krieg,MISC,,,de,17,,,,,,
russischen Angriffskrieg,russischen Angriffskrieg,MISC,,,de,17,,,,,,
Wetter“,Wetter“,MISC,,,de,16,,,,,,
Wetterbericht“,Wetterbericht“,MISC,,,de,6,,,,,,
Deutsche,Deutsche,MISC,,,de,5,,,,,,
Wettervorhersage“,Wettervorhersage“,MISC,,,de,4,,,,,,
Starker Wind,Starker Wind,MISC,,,de,3,,,,,,
Deutschen,Deutschen,MISC,,,de,3,,,,,,
ukrainische,ukrainische,MISC,,,de,3,,,,,,
sozialen,sozialen,MISC,,,de,2,,,,,,
Nebel und Wolken,Nebel und Wolken,MISC,,,de,2,,,,,,
Das Herbstwetter,Das Herbstwetter,MISC,,,de,2,,,,,,
russischem,russischem,MISC,,,de,2,,,,,,
Sonne-Comeback,Sonne-Comeback,MISC,,,de,2,,,,,,
russischer,russischer,MISC,,,de,2,,,,,,
Sonne am Nachmittag,Sonne am Nachmittag,MISC,,,de,2,,,,,,
T-Shirt-Wetter,T-Shirt-Wetter,MISC,,,de,2,,,,,,
ukrainischen,ukrainischen,MISC,,,de,2,,,,,,
T…,T…,MISC,,,de,2,,,,,,
Frost am Morgen,Frost am Morgen,MISC,,,de,2,,,,,,
Wetter-Mix“,Wetter-Mix“,MISC,,,de,2,,,,,,
russischen,russischen,MISC,,,de,2,,,,,,
Freundliches Wetter,Freundliches Wetter,MISC,,,de,2,,,,,,
Die erste Novemberwoche,Die erste Novemberwoche,MISC,,,de,1,,,,,,
Gefahr für Privatsphäre und nationale Sicherheit,Gefahr für Privatsphäre und nationale Sicherheit,MISC,,,de,1,,,,,,
Wolf,Wolf,MISC,,,de,1,,,,,,
Sonntagnachmittag,Sonntagnachmittag,MISC,,,de,1,,,,,,
Englische,Englische,MISC,,,de,1,,,,,,
Kühles Herbstwetter,Kühles Herbstwetter,MISC,,,de,1,,,,,,
deutschen,deutschen,MISC,,,de,1,,,,,,
Herbst bringt Sonne,Herbst bringt Sonne,MISC,,,de,1,,,,,,
Handy-Ortungen ze…,Handy-Ortungen ze…,MISC,,,de,1,,,,,,
