,Hazard,Impacts,Mitigation,Adaptation,Causes,Invalid
2025-09-28,3.0,0.0,0.0,0,0,0.0
2025-09-30,0.0,1.0,0.0,0,0,0.0
2025-10-02,0.0,0.0,0.0,0,0,3.0
2025-10-05,0.0,0.0,0.0,0,0,1.0
2025-10-06,0.0,0.0,0.0,0,0,1.0
2025-10-08,0.0,0.0,0.0,0,0,1.0
2025-10-09,0.0,0.0,0.0,0,0,1.0
2025-10-10,0.8,0.0,0.0,0,0,7.0
2025-10-11,0.0,0.0,0.0,0,0,5.0
2025-10-12,0.8,0.0,0.0,0,0,0.9
2025-10-13,0.0,0.0,0.0,0,0,3.9
2025-10-14,0.8,0.0,0.0,0,0,5.0
2025-10-15,0.0,0.0,0.0,0,0,11.8
2025-10-16,0.0,0.0,0.0,0,0,1.8
2025-10-17,0.0,0.0,0.0,0,0,4.9
2025-10-18,0.0,0.0,0.0,0,0,4.7
2025-10-19,0.0,0.0,0.0,0,0,0.9
2025-10-22,0.0,0.0,0.0,0,0,2.0
2025-10-23,0.0,0.0,0.0,0,0,2.0
2025-10-24,0.0,0.0,0.0,0,0,1.8
2025-10-28,0.0,0.0,0.0,0,0,4.8
2025-10-29,0.0,0.0,0.0,0,0,1.8
2025-10-30,1.0,0.0,0.0,0,0,0.9
2025-10-31,0.0,0.0,0.0,0,0,1.8
2025-11-01,0.0,0.0,0.0,0,0,16.200000000000003
2025-11-02,4.8,0.0,0.0,0,0,0.9
2025-11-03,0.0,0.0,0.0,0,0,0.9
2025-11-04,1.0,0.0,0.0,0,0,2.7
2025-11-05,2.8,0.0,0.0,0,0,1.8
2025-11-06,2.4000000000000004,0.0,0.0,0,0,0.0
2025-11-07,8.2,0.0,2.4000000000000004,0,0,0.9
2025-11-08,4.0,0.0,0.0,0,0,2.7
2025-11-09,4.8,0.0,1.6,0,0,5.4
2025-11-10,4.8,1.6,0.0,0,0,6.300000000000001
2025-11-11,0.8,0.0,0.0,0,0,0.0
2025-11-12,1.7000000000000002,0.0,0.0,0,0,0.0
2025-11-13,1.6,0.8,1.6,0,0,0.0
2025-11-16,0.8,0.0,0.0,0,0,0.0
2025-11-17,0.0,0.8,0.0,0,0,0.0
2025-11-24,0.8,0.8,0.8,0,0,0.0
2025-11-25,2.4000000000000004,0.0,0.0,0,0,0.0
2025-11-26,0.8,0.0,0.0,0,0,0.0
2025-11-28,0.8,0.0,0.0,0,0,0.0
2025-11-29,0.8,0.0,0.0,0,0,0.0
2025-11-30,1.6,0.0,1.6,0,0,0.0
2025-12-01,6.3999999999999995,0.0,0.0,0,0,0.0
2025-12-02,2.4000000000000004,0.0,0.0,0,0,0.0
2025-12-03,1.6,0.0,1.6,0,0,0.0
2025-12-04,0.8,0.0,1.6,0,0,0.0
2025-12-05,0.0,1.6,0.0,0,0,0.0
2025-12-07,0.0,0.8,0.0,0,0,0.0
2025-12-08,2.4000000000000004,0.0,0.0,0,0,0.0
2025-12-10,0.0,0.0,1.6,0,0,0.0
2025-12-11,2.4000000000000004,0.0,4.0,0,0,0.0
2025-12-12,4.0,0.0,1.6,0,0,0.0
2025-12-13,5.6,0.0,0.0,0,0,0.0
2025-12-14,3.2,0.0,0.8,0,0,0.0
2025-12-15,4.0,1.6,0.0,0,0,0.0
